Mikor;Milyen dolog;Micsoda;Leírás;Link;Képlink
egész héten;kiállítás;Voltunk, mint ti. Arcrekonstrukciók a római korból;Antropológiai és genetikai vizsgálatok alapján próbálják rekonstruálni, kik éltek itt a római korban.;https://www.aquincum.hu/kiallitas/voltunk-mint-ti-arcrekonstrukciok-romai-korbol/;
hétfő;mozi;Ádám almái;Egy hitetlen neonáci és egy hívő pap, meg egy almafa. Mi kellhet még?;https://www.bemmozi.hu/film.php?slug=%C3%A1d%C3%A1m-alm%C3%A1i-adams-aebler-bemutat%C3%B3;https://www.youtube.com/watch?v=RaJdhU7qWVk
péntek;mozi;Rocky Horror Picture Show;Minden idők filmje;https://www.bemmozi.hu/film.php?slug=the-rocky-horror-picture-show;https://www.youtube.com/watch?v=u1O2-oFmWXM
egész héten;mozi;Argentin történetek;Tizenhat történet, nem csak vicces.;https://www.cirkogejzir.hu/filmek/argentin-tortenetek/1218/;https://www.youtube.com/watch?v=RXcx0BF5jO8
péntek;koncert;1. Hézag táncest;10-ig punk, aztán technó;https://www.facebook.com/photo/?fbid=1129917346368385&set=a.195395819820547&locale=hu_HU;https://www.youtube.com/watch?v=W2Z6-OR4RKo
csütörtök;koncert;Wazard;Diák grunge;https://fb.me/e/76cX3uD15;https://www.youtube.com/watch?v=FH2MQSdxX0M
csütörtök;kiállítás;Rajzolt terek;Egy képzős tanár grafikái az elmúlt 40 évből;;https://www.mke.hu/res/mke_rajzolt_terek002b.jpg
szerda;dolog;A Képző titkos terei;Izgalmas séta a Képzőművészeti Egyetemen;https://www.mke.hu/aktualis/index.php?mid=aFdLcvKIeQLRff5CCFowCs;https://www.mke.hu/res/foepuleti_seta_uj_2026_osz_tel_ok_valasztott_300x200_fekvo.jpg
csütörtök;koncert;Lemezjátszó;Fekete Giorgio Arctic Monkeys-t hallgat;https://b32kulturter.hu/esemeny/lemezjatszo-fekete-giorgio-arctic-monkeys-am/;
szombat;dolog;Add tovább!;Könyvcserebere;https://b32kulturter.hu/add-tovabb-konyvcsere-a-konyvbulin/;https://b32kulturter.hu/wp-content/uploads/2026/08/add-tovabb.jpeg
vasárnap;dolog;Zeneakadémia épületlátogatás;Igazi gesamtktnst, építészet és komoyl zene.;https://koncert.zeneakademia.hu/programok/2026-09-20-epuletlatogatas-es-kiskoncert-14668;
szerda;kiállítás;ÉVA²;Egy animációs rendező nagymama és egy festő unoka, közben francia ellenállás, 50-es évek.;https://www.facebook.com/events/2234928597352687/?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22search%22%7D%2C%7B%22mechanism%22%3A%22attachment%22%2C%22surface%22%3A%22newsfeed%22%7D]%2C%22ref_notif_type%22%3Anull%7D;https://scontent-vie1-1.xx.fbcdn.net/v/t39.30808-6/780543529_1907738853925967_8144808934679374852_n.jpg?stp=dst-jpg_tt6&cstp=mx2048x1073&ctp=s2048x1073&_nc_cat=109&ccb=1-7&_nc_sid=75d36f&_nc_ohc=1pRvFd4O_UwQ7kNvwHguT-1&_nc_oc=AdpuN-gVsvAPkMt4-pwSGOTWVlvlY6OwwfIcPV5IgwosOxmQ8u7NkMR4zSx1AW0dYvSOvhzJIbxRryyKBFXUbO3e&_nc_zt=23&_nc_ht=scontent-vie1-1.xx&_nc_gid=V6CITOJDK6G6zJvTY3G5Bg&_nc_ss=7b2a8&oh=00_AQIpA-7oxqYFz9eHJqK0NQf5lOjTQvoKsqoU8GNEa1J0VQ&oe=6AAB4BCA
